v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
2.120000000000001e+00	2.120000e+00	4.733814e-02	6.153959e-01	4.733814e-02	-2.120000e-17	2.120000e-19	4.733814e-21	-4.733814e-06	-4.733814e-06	-4.718448e-21	-7.203531e-05	2.996282e-12	-3.996316e-08	-4.693851e-06	7.203530e-05	-7.993469e-05
2.220000000000001e+00	2.220000e+00	5.502987e-02	7.153884e-01	5.502987e-02	-2.220000e-17	2.220000e-19	5.502987e-21	-5.502987e-06	-5.502987e-06	-5.481726e-21	-7.533687e-05	3.096303e-12	-3.995306e-08	-5.463034e-06	7.533686e-05	-8.323143e-05
2.320000000000001e+00	2.320000e+00	6.272162e-02	8.153811e-01	6.272162e-02	-2.320000e-17	2.320000e-19	6.272162e-21	-6.272162e-06	-6.272162e-06	-6.245004e-21	-7.863843e-05	3.196323e-12	-3.994297e-08	-6.232109e-06	7.863842e-05	-8.652818e-05
2.420000000000001e+00	2.420000e+00	7.041334e-02	9.153734e-01	7.041334e-02	-2.420000e-17	2.420000e-19	7.041334e-21	-7.041333e-06	-7.041333e-06	-7.077672e-21	-8.193999e-05	3.296345e-12	-3.993287e-08	-7.001358e-06	8.193998e-05	-8.982492e-05
2.520000000000001e+00	2.520000e+00	7.810505e-02	1.015366e+00	7.810505e-02	-2.520000e-17	2.520000e-19	7.810505e-21	-7.810505e-06	-7.810505e-06	-7.771561e-21	-8.524155e-05	3.396366e-12	-3.992278e-08	-7.770577e-06	8.524155e-05	-9.312166e-05
2.620000000000001e+00	2.620000e+00	8.579678e-02	1.115358e+00	8.579678e-02	-2.620000e-17	2.620000e-19	8.579678e-21	-8.579677e-06	-8.579677e-06	-8.604229e-21	-8.854311e-05	3.496387e-12	-3.991268e-08	-8.539765e-06	8.854311e-05	-9.641841e-05
2.720000000000002e+00	2.720000e+00	9.348851e-02	1.215351e+00	9.348851e-02	-2.720000e-17	2.720000e-19	9.348850e-21	-9.348851e-06	-9.348851e-06	-9.298118e-21	-9.184467e-05	3.596407e-12	-3.990325e-08	-9.308947e-06	9.184467e-05	-9.971514e-05
2.820000000000002e+00	2.820000e+00	1.011802e-01	1.315343e+00	1.011802e-01	-2.820000e-17	2.820000e-19	1.011802e-20	-1.011802e-05	-1.011802e-05	-1.013079e-20	-9.514623e-05	3.696429e-12	-3.989249e-08	-1.007813e-05	9.514623e-05	-1.030119e-04
2.920000000000002e+00	2.920000e+00	1.088720e-01	1.415335e+00	1.088720e-01	-2.920000e-17	2.920000e-19	1.088720e-20	-1.088720e-05	-1.088720e-05	-1.082467e-20	-9.844779e-05	3.796450e-12	-3.988239e-08	-1.084731e-05	9.844779e-05	-1.063086e-04
3.020000000000002e+00	3.020000e+00	1.165637e-01	1.515328e+00	1.165637e-01	-3.020000e-17	3.020000e-19	1.165637e-20	-1.165637e-05	-1.165637e-05	-1.165734e-20	-1.017493e-04	3.896471e-12	-3.987230e-08	-1.161649e-05	1.017493e-04	-1.096054e-04
