v_supply	V(v_batteries)	V(vout_reg)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc1)	I(R1)	I(R2)	I(R3)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
4.400000000000000e+00	1.440000e+01	9.567726e-01	4.401154e+00	9.567726e-01	4.400000e+00	1.440000e-18	-1.440000e-16	9.567726e-20	-9.567726e-05	-9.567726e-05	-9.547918e-20	-7.601896e-04	1.019958e-11	-1.019958e-11	-1.019958e-11	-9.567725e-05	7.601896e-04	-6.646116e-04
4.500000000000000e+00	1.440000e+01	9.785118e-01	4.501154e+00	9.785118e-01	4.500000e+00	1.440000e-18	-1.440000e-16	9.785118e-20	-9.785117e-05	-9.785117e-05	-9.769963e-20	-7.623489e-04	9.799576e-12	-9.799576e-12	-9.799580e-12	-9.785117e-05	7.623489e-04	-6.645969e-04
4.600000000000000e+00	1.440000e+01	1.000251e+00	4.601154e+00	1.000251e+00	4.600000e+00	1.440000e-18	-1.440000e-16	1.000251e-19	-1.000251e-04	-1.000251e-04	-9.992007e-20	-7.645082e-04	9.399576e-12	-9.399576e-12	-9.399579e-12	-1.000251e-04	7.645082e-04	-6.645823e-04
4.699999999999999e+00	1.440000e+01	1.021990e+00	4.701154e+00	1.021990e+00	4.700000e+00	1.440000e-18	-1.440000e-16	1.021990e-19	-1.021990e-04	-1.021990e-04	-1.021405e-19	-7.666675e-04	8.999575e-12	-8.999575e-12	-8.999579e-12	-1.021990e-04	7.666675e-04	-6.645677e-04
4.799999999999999e+00	1.440000e+01	1.043729e+00	4.801154e+00	1.043729e+00	4.800000e+00	1.440000e-18	-1.440000e-16	1.043729e-19	-1.043729e-04	-1.043729e-04	-1.043610e-19	-7.688272e-04	8.599575e-12	-8.599575e-12	-8.599579e-12	-1.043729e-04	7.688272e-04	-6.645534e-04
4.899999999999999e+00	1.440000e+01	1.065468e+00	4.901154e+00	1.065468e+00	4.900000e+00	1.440000e-18	-1.440000e-16	1.065468e-19	-1.065468e-04	-1.065468e-04	-1.065814e-19	-7.709867e-04	8.199575e-12	-8.199575e-12	-8.199578e-12	-1.065468e-04	7.709867e-04	-6.645391e-04
4.999999999999998e+00	1.440000e+01	1.087207e+00	5.001154e+00	1.087207e+00	5.000000e+00	1.440000e-18	-1.440000e-16	1.087207e-19	-1.087207e-04	-1.087207e-04	-1.088019e-19	-7.731463e-04	7.799574e-12	-7.799574e-12	-7.799578e-12	-1.087207e-04	7.731463e-04	-6.645246e-04
5.099999999999998e+00	1.440000e+01	1.108947e+00	5.101154e+00	1.108947e+00	5.100000e+00	1.440000e-18	-1.440000e-16	1.108947e-19	-1.108947e-04	-1.108947e-04	-1.110223e-19	-7.753061e-04	7.399574e-12	-7.399574e-12	-7.399577e-12	-1.108947e-04	7.753061e-04	-6.645106e-04
5.199999999999998e+00	1.440000e+01	1.130686e+00	5.201154e+00	1.130686e+00	5.200000e+00	1.440000e-18	-1.440000e-16	1.130686e-19	-1.130686e-04	-1.130686e-04	-1.132427e-19	-7.774659e-04	6.999573e-12	-6.999573e-12	-6.999577e-12	-1.130686e-04	7.774659e-04	-6.644964e-04
5.299999999999997e+00	1.440000e+01	1.152425e+00	5.301155e+00	1.152425e+00	5.300000e+00	1.440000e-18	-1.440000e-16	1.152425e-19	-1.152425e-04	-1.152425e-04	-1.154632e-19	-7.796258e-04	6.599573e-12	-6.599573e-12	-6.599577e-12	-1.152425e-04	7.796258e-04	-6.644824e-04
5.399999999999997e+00	1.440000e+01	1.174164e+00	5.401155e+00	1.174164e+00	5.400000e+00	1.440000e-18	-1.440000e-16	1.174164e-19	-1.174164e-04	-1.174164e-04	-1.176836e-19	-7.817858e-04	6.199573e-12	-6.199573e-12	-6.199576e-12	-1.174164e-04	7.817858e-04	-6.644684e-04
5.499999999999996e+00	1.440000e+01	1.195903e+00	5.501154e+00	1.195903e+00	5.500000e+00	1.440000e-18	-1.440000e-16	1.195903e-19	-1.195903e-04	-1.195903e-04	-1.199041e-19	-7.839439e-04	5.799572e-12	-5.799572e-12	-5.799576e-12	-1.195903e-04	7.839439e-04	-6.644517e-04
5.599999999999996e+00	1.440000e+01	1.217642e+00	5.601154e+00	1.217642e+00	5.600000e+00	1.440000e-18	-1.440000e-16	1.217642e-19	-1.217642e-04	-1.217642e-04	-1.221245e-19	-7.861059e-04	5.399572e-12	-5.399572e-12	-5.399575e-12	-1.217642e-04	7.861059e-04	-6.644407e-04
5.699999999999996e+00	1.440000e+01	1.239381e+00	5.701155e+00	1.239381e+00	5.700000e+00	1.440000e-18	-1.440000e-16	1.239381e-19	-1.239381e-04	-1.239381e-04	-1.243450e-19	-7.882661e-04	4.999572e-12	-4.999572e-12	-4.999575e-12	-1.239381e-04	7.882661e-04	-6.644270e-04
5.799999999999995e+00	1.440000e+01	1.261121e+00	5.801155e+00	1.261121e+00	5.800000e+00	1.440000e-18	-1.440000e-16	1.261121e-19	-1.261121e-04	-1.261121e-04	-1.265654e-19	-7.904264e-04	4.599571e-12	-4.599571e-12	-4.599575e-12	-1.261120e-04	7.904264e-04	-6.644133e-04
5.899999999999995e+00	1.440000e+01	1.282860e+00	5.901155e+00	1.282860e+00	5.900000e+00	1.440000e-18	-1.440000e-16	1.282860e-19	-1.282860e-04	-1.282860e-04	-1.287859e-19	-7.925869e-04	4.199570e-12	-4.199570e-12	-4.199575e-12	-1.282860e-04	7.925869e-04	-6.643999e-04
5.999999999999995e+00	1.440000e+01	1.304599e+00	6.001155e+00	1.304599e+00	6.000000e+00	1.440000e-18	-1.440000e-16	1.304599e-19	-1.304599e-04	-1.304599e-04	-1.310063e-19	-7.947473e-04	3.799570e-12	-3.799570e-12	-3.799574e-12	-1.304599e-04	7.947473e-04	-6.643864e-04
