v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
1.639999999999996e+01	1.640000e+01	1.261236e+00	1.639607e+01	1.261236e+00	-1.640000e-16	1.640000e-18	1.261236e-19	-1.261236e-04	-1.261236e-04	-1.265654e-19	-7.620027e-04	3.382216e-11	3.379725e-11	-1.261236e-04	7.620027e-04	-6.358915e-04
1.649999999999996e+01	1.650000e+01	1.268929e+00	1.649607e+01	1.268929e+00	-1.650000e-16	1.650000e-18	1.268929e-19	-1.268929e-04	-1.268929e-04	-1.265654e-19	-7.641754e-04	3.402221e-11	3.399727e-11	-1.268929e-04	7.641753e-04	-6.372943e-04
1.659999999999997e+01	1.660000e+01	1.276621e+00	1.659608e+01	1.276621e+00	-1.660000e-16	1.660000e-18	1.276621e-19	-1.276621e-04	-1.276621e-04	-1.265654e-19	-7.663490e-04	3.422224e-11	3.419730e-11	-1.276622e-04	7.663490e-04	-6.386982e-04
1.669999999999997e+01	1.670000e+01	1.284314e+00	1.669608e+01	1.284314e+00	-1.670000e-16	1.670000e-18	1.284314e-19	-1.284314e-04	-1.284314e-04	-1.287859e-19	-7.685238e-04	3.442228e-11	3.439733e-11	-1.284314e-04	7.685237e-04	-6.401032e-04
1.679999999999997e+01	1.680000e+01	1.292006e+00	1.679608e+01	1.292006e+00	-1.680000e-16	1.680000e-18	1.292006e-19	-1.292006e-04	-1.292006e-04	-1.287859e-19	-7.706995e-04	3.462232e-11	3.459734e-11	-1.292007e-04	7.706995e-04	-6.415093e-04
1.689999999999997e+01	1.690000e+01	1.299699e+00	1.689609e+01	1.299699e+00	-1.690000e-16	1.690000e-18	1.299699e-19	-1.299699e-04	-1.299699e-04	-1.287859e-19	-7.728764e-04	3.482236e-11	3.479736e-11	-1.299699e-04	7.728763e-04	-6.429163e-04
1.699999999999997e+01	1.700000e+01	1.307392e+00	1.699609e+01	1.307392e+00	-1.700000e-16	1.700000e-18	1.307392e-19	-1.307392e-04	-1.307392e-04	-1.310063e-19	-7.750542e-04	3.502240e-11	3.499735e-11	-1.307392e-04	7.750542e-04	-6.443244e-04
1.709999999999997e+01	1.710000e+01	1.315084e+00	1.709609e+01	1.315084e+00	-1.710000e-16	1.710000e-18	1.315084e-19	-1.315084e-04	-1.315084e-04	-1.310063e-19	-7.772332e-04	3.522244e-11	3.519738e-11	-1.315085e-04	7.772331e-04	-6.457336e-04
1.719999999999997e+01	1.720000e+01	1.322777e+00	1.719610e+01	1.322777e+00	-1.720000e-16	1.720000e-18	1.322777e-19	-1.322777e-04	-1.322777e-04	-1.332268e-19	-7.794131e-04	3.542248e-11	3.539739e-11	-1.322777e-04	7.794130e-04	-6.471437e-04
1.729999999999998e+01	1.730000e+01	1.330469e+00	1.729610e+01	1.330469e+00	-1.730000e-16	1.730000e-18	1.330469e-19	-1.330469e-04	-1.330469e-04	-1.332268e-19	-7.815940e-04	3.562252e-11	3.559740e-11	-1.330470e-04	7.815940e-04	-6.485549e-04
1.739999999999998e+01	1.740000e+01	1.338162e+00	1.739610e+01	1.338162e+00	-1.740000e-16	1.740000e-18	1.338162e-19	-1.338162e-04	-1.338162e-04	-1.332268e-19	-7.837761e-04	3.582256e-11	3.579743e-11	-1.338162e-04	7.837760e-04	-6.499672e-04
1.749999999999998e+01	1.750000e+01	1.345854e+00	1.749611e+01	1.345854e+00	-1.750000e-16	1.750000e-18	1.345854e-19	-1.345854e-04	-1.345854e-04	-1.354472e-19	-7.859592e-04	3.602259e-11	3.599743e-11	-1.345855e-04	7.859591e-04	-6.513806e-04
1.759999999999998e+01	1.760000e+01	1.353547e+00	1.759611e+01	1.353547e+00	-1.760000e-16	1.760000e-18	1.353547e-19	-1.353547e-04	-1.353547e-04	-1.354472e-19	-7.881433e-04	3.622263e-11	3.619745e-11	-1.353547e-04	7.881433e-04	-6.527949e-04
1.769999999999998e+01	1.770000e+01	1.361239e+00	1.769611e+01	1.361239e+00	-1.770000e-16	1.770000e-18	1.361239e-19	-1.361239e-04	-1.361239e-04	-1.354472e-19	-7.903285e-04	3.642267e-11	3.639745e-11	-1.361240e-04	7.903284e-04	-6.542103e-04
1.779999999999998e+01	1.780000e+01	1.368932e+00	1.779611e+01	1.368932e+00	-1.780000e-16	1.780000e-18	1.368932e-19	-1.368932e-04	-1.368932e-04	-1.376677e-19	-7.925147e-04	3.662271e-11	3.659747e-11	-1.368932e-04	7.925146e-04	-6.556268e-04
1.789999999999998e+01	1.790000e+01	1.376624e+00	1.789611e+01	1.376624e+00	-1.790000e-16	1.790000e-18	1.376624e-19	-1.376624e-04	-1.376624e-04	-1.376677e-19	-7.947020e-04	3.682275e-11	3.679746e-11	-1.376625e-04	7.947019e-04	-6.570443e-04
1.799999999999999e+01	1.800000e+01	1.384317e+00	1.799612e+01	1.384317e+00	-1.800000e-16	1.800000e-18	1.384317e-19	-1.384317e-04	-1.384317e-04	-1.376677e-19	-7.968902e-04	3.702279e-11	3.699750e-11	-1.384317e-04	7.968902e-04	-6.584629e-04
