Freq.	V(n001)	V(n002)	V(n003)	V(n004)	I(D1)	I(R1)	I(R2)	I(V1)	I(V4)	Ib(Q1)	Ic(Q1)	Ie(Q1)
9.99999999999994e+002	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171271864020e+000dB,1.79958839180189e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421906004109e+001dB,-2.47923699093989e-002°)	(-1.55308963358537e+002dB,-9.00459832892781e+001°)	(-6.04340203183698e+001dB,-1.79998729690589e+002°)	(-1.58931374701463e+001dB,-4.11608198110872e-002°)	(-6.04340203183698e+001dB,-1.79998729690589e+002°)	(-1.58931374700681e+001dB,1.79958845308366e+002°)	(-6.04340203183668e+001dB,1.27030941077921e-003°)	(-1.58931374700681e+001dB,-4.11546916335805e-002°)	(-1.58417939281122e+001dB,1.79959095348949e+002°)
1.11588399250774e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171217644176e+000dB,1.79954069301953e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421910585445e+001dB,-2.76654069355605e-002°)	(-1.54356582954444e+002dB,-9.00502526006055e+001°)	(-6.04340202841565e+001dB,-1.79998582482246e+002°)	(-1.58931380123447e+001dB,-4.59306980471034e-002°)	(-6.04340202841565e+001dB,-1.79998582482246e+002°)	(-1.58931380122665e+001dB,1.79954076140288e+002°)	(-6.04340202841597e+001dB,1.41751775447376e-003°)	(-1.58931380122665e+001dB,-4.59238597119200e-002°)	(-1.58417944703342e+001dB,1.79954355156572e+002°)
1.24519708473503e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171150129796e+000dB,1.79948746671923e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421916290109e+001dB,-3.08713822685954e-002°)	(-1.53404202682220e+002dB,-9.00551265641610e+001°)	(-6.04340202415543e+001dB,-1.79998418214882e+002°)	(-1.58931386874885e+001dB,-5.12533280773952e-002°)	(-6.04340202415543e+001dB,-1.79998418214882e+002°)	(-1.58931386874103e+001dB,1.79948754302711e+002°)	(-6.04340202415526e+001dB,1.58178511772964e-003°)	(-1.58931386874103e+001dB,-5.12456972886289e-002°)	(-1.58417951455073e+001dB,1.79949065652516e+002°)
1.38949549437313e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171066061100e+000dB,1.79942807235301e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421923393539e+001dB,-3.44488778583206e-002°)	(-1.52451822574351e+002dB,-9.00606639481114e+001°)	(-6.04340201885061e+001dB,-1.79998234911660e+002°)	(-1.58931395281755e+001dB,-5.71927646987215e-002°)	(-6.04340201885061e+001dB,-1.79998234911660e+002°)	(-1.58931395280972e+001dB,1.79942815750376e+002°)	(-6.04340201885023e+001dB,1.76508834012118e-003°)	(-1.58931395280972e+001dB,-5.71842496236873e-002°)	(-1.58417959862307e+001dB,1.79943163180640e+002°)
1.55051577983261e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19170961379028e+000dB,1.79936179514479e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421932238708e+001dB,-3.84409465796005e-002°)	(-1.51499442672083e+002dB,-9.00669306271006e+001°)	(-6.04340201224507e+001dB,-1.79998030366666e+002°)	(-1.58931405749962e+001dB,-6.38204855212438e-002°)	(-6.04340201224507e+001dB,-1.79998030366666e+002°)	(-1.58931405749179e+001dB,1.79936189016315e+002°)	(-6.04340201224477e+001dB,1.96963333446654e-003°)	(-1.58931405749179e+001dB,-6.38109836853179e-002°)	(-1.58417970330968e+001dB,1.79936576708184e+002°)
1.73019573884588e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19170831029252e+000dB,1.79928783748890e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421943252682e+001dB,-4.28956302999646e-002°)	(-1.50547063025484e+002dB,-9.00740038832721e+001°)	(-6.04340200401987e+001dB,-1.79997802118371e+002°)	(-1.58931418784940e+001dB,-7.12162511100830e-002°)	(-6.04340200401987e+001dB,-1.79997802118371e+002°)	(-1.58931418784156e+001dB,1.79928794351837e+002°)	(-6.04340200401955e+001dB,2.19788162870442e-003°)	(-1.58931418784157e+001dB,-7.12056481634738e-002°)	(-1.58417983366511e+001dB,1.79929226970987e+002°)
1.93069772888324e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19170668718146e+000dB,1.79920530935214e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421956967245e+001dB,-4.78665379669879e-002°)	(-1.49594683698432e+002dB,-9.00819667595332e+001°)	(-6.04340199377789e+001dB,-1.79997547420018e+002°)	(-1.58931435016050e+001dB,-7.94690647864961e-002°)	(-6.04340199377789e+001dB,-1.79997547420018e+002°)	(-1.58931435015267e+001dB,1.79920542766872e+002°)	(-6.04340199377756e+001dB,2.45257998171498e-003°)	(-1.58931435015267e+001dB,-7.94572331281020e-002°)	(-1.58417999598326e+001dB,1.79921025519657e+002°)
2.15443469003187e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19170466608915e+000dB,1.79911321756369e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421974044572e+001dB,-5.34134906645419e-002°)	(-1.48642304768721e+002dB,-9.00909167876690e+001°)	(-6.04340198102461e+001dB,-1.79997263206572e+002°)	(-1.58931455226973e+001dB,-8.86782436309960e-002°)	(-6.04340198102461e+001dB,-1.79997263206572e+002°)	(-1.58931455226189e+001dB,1.79911334959127e+002°)	(-6.04340198102499e+001dB,2.73679342833303e-003°)	(-1.58931455226189e+001dB,-8.86650408727881e-002°)	(-1.58418019810126e+001dB,1.79911873655233e+002°)
2.40409918350996e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19170214943221e+000dB,1.79901045386434e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421995309195e+001dB,-5.96032413898865e-002°)	(-1.47689926334333e+002dB,-9.01009605294507e+001°)	(-6.04340196514429e+001dB,-1.79996946057848e+002°)	(-1.58931480393543e+001dB,-9.89546135657315e-002°)	(-6.04340196514429e+001dB,-1.79996946057848e+002°)	(-1.58931480392758e+001dB,1.79901060119181e+002°)	(-6.04340196514384e+001dB,3.05394215251452e-003°)	(-1.58931480392758e+001dB,-9.89398808191916e-002°)	(-1.58418044977787e+001dB,1.79901661241542e+002°)
2.68269579527971e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19169901570036e+000dB,1.79889578157118e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422021787823e+001dB,-6.65102781985371e-002°)	(-1.46737548516691e+002dB,-9.01122204600165e+001°)	(-6.04340194537018e+001dB,-1.79996592157374e+002°)	(-1.58931511730861e+001dB,-1.10421842882128e-001°)	(-6.04340194537018e+001dB,-1.79996592157374e+002°)	(-1.58931511730076e+001dB,1.79889594597154e+002°)	(-6.04340194537078e+001dB,3.40784262618239e-003°)	(-1.58931511730076e+001dB,-1.10405402846098e-001°)	(-1.58418076316465e+001dB,1.79890265379974e+002°)
